uf,localidade,faixa_inicio,faixa_fim,situacao,tipo_faixa
MA,São Raimundo das Mangabeiras,65840-000,65849-999,Não codificada por logradouros,Total do município
MA,São Raimundo do Doca Bezerra,65753-000,65754-999,Não codificada por logradouros,Total do município
MA,São Roberto,65758-000,65759-999,Não codificada por logradouros,Total do município
MA,São Vicente Ferrer,65220-000,65222-999,Não codificada por logradouros,Total do município
MA,Satubinha,65709-000,65709-999,Não codificada por logradouros,Total do município
MA,Senador Alexandre Costa,65783-000,65784-999,Não codificada por logradouros,Total do município
MA,Senador La Rocque,65935-000,65935-499,Não codificada por logradouros,Total do município
MA,Senador La Rocque,65935-958,65935-958,Não codificada por logradouros,Total do município
MA,Senador La Rocque,65935-970,65935-970,Não codificada por logradouros,Total do município
MA,Serrano do Maranhão,65269-000,65269-999,Não codificada por logradouros,Total do município
MA,Sítio Novo,65925-000,65926-999,Não codificada por logradouros,Total do município
MA,Sucupira do Norte,65860-000,65869-999,Não codificada por logradouros,Total do município
MA,Sucupira do Riachão,65668-000,65669-999,Não codificada por logradouros,Total do município
MA,Tasso Fragoso,65820-000,65829-999,Não codificada por logradouros,Total do município
MA,Timbiras,65420-000,65429-999,Não codificada por logradouros,Total do município
MA,Timon,65630-000,65639-999,Codificado por logradouros,Total do município
